round_epochs,loss,accuracy,val_loss,val_accuracy,units,hidden_activations,activation,loss,optimizer,batch_size
200,2.7891781330108643,0.11351999640464783,2.8010730743408203,0.11400000005960464,240,sigmoid,softmax,categorical_crossentropy,adam,1000
200,2.8027021884918213,0.1121399998664856,2.8079848289489746,0.10499999672174454,240,sigmoid,softmax,categorical_crossentropy,adam,2000
200,3.002462387084961,0.05934000015258789,3.0024073123931885,0.06369999796152115,240,sigmoid,softmax,categorical_crossentropy,adagrad,1000
200,3.009849786758423,0.050620000809431076,3.0097856521606445,0.05169999971985817,240,sigmoid,softmax,categorical_crossentropy,adagrad,2000
200,0.009505771100521088,0.04879999905824661,0.009502853266894817,0.05000000074505806,240,sigmoid,sigmoid,mse,adam,1000
200,0.009504437446594238,0.0485600009560585,0.009504163637757301,0.05000000074505806,240,sigmoid,sigmoid,mse,adam,2000
200,0.022594699636101723,0.05000000074505806,0.022546714171767235,0.05000000074505806,240,sigmoid,sigmoid,mse,adagrad,1000
200,0.044055867940187454,0.05000000074505806,0.04393217712640762,0.05000000074505806,240,sigmoid,sigmoid,mse,adagrad,2000
200,3.0003533363342285,0.0488400012254715,2.997776746749878,0.05000000074505806,240,sigmoid,sigmoid,categorical_crossentropy,adam,1000
200,2.7895259857177734,0.11321999877691269,2.8027522563934326,0.1128000020980835,240,sigmoid,sigmoid,categorical_crossentropy,adam,2000
200,3.002671241760254,0.05215999856591225,3.0026261806488037,0.061900001019239426,240,sigmoid,sigmoid,categorical_crossentropy,adagrad,1000
200,3.010632276535034,0.061480000615119934,3.010552406311035,0.06560000032186508,240,sigmoid,sigmoid,categorical_crossentropy,adagrad,2000
