round_epochs,loss,accuracy,val_loss,val_accuracy,units,hidden_activations,activation,loss,optimizer,batch_size
200,0.01999996043741703,0.0,0.019999997690320015,0.0,120,relu,softmax,mse,adam,1000
200,0.019999932497739792,0.0,0.019999990239739418,0.0,120,relu,softmax,mse,adam,2000
200,0.013521213084459305,0.047200001776218414,0.013591575436294079,0.04670000076293945,120,relu,softmax,mse,adagrad,1000
200,0.013944565318524837,0.04391999915242195,0.01404036395251751,0.042399998754262924,120,relu,softmax,mse,adagrad,2000
200,1.7131389379501343,0.46435999870300293,2.5258095264434814,0.31369999051094055,120,relu,softmax,categorical_crossentropy,adam,1000
200,1.886895775794983,0.4146600067615509,2.3642566204071045,0.311599999666214,120,relu,softmax,categorical_crossentropy,adam,2000
200,2.403369426727295,0.2639999985694885,2.476684808731079,0.24390000104904175,120,relu,softmax,categorical_crossentropy,adagrad,1000
200,2.475484609603882,0.2422800064086914,2.522428035736084,0.22509999573230743,120,relu,softmax,categorical_crossentropy,adagrad,2000
200,0.13600002229213715,0.05000000074505806,0.13600000739097595,0.05000000074505806,120,relu,sigmoid,mse,adam,1000
200,0.21199999749660492,0.05000000074505806,0.21199999749660492,0.05000000074505806,120,relu,sigmoid,mse,adam,2000
200,0.1960257589817047,0.05056000128388405,0.1960134208202362,0.05009999871253967,120,relu,sigmoid,mse,adagrad,1000
200,0.21505455672740936,0.04981999844312668,0.21503688395023346,0.048900000751018524,120,relu,sigmoid,mse,adagrad,2000
200,1.7718956470489502,0.4413999915122986,2.6189112663269043,0.289900004863739,120,relu,sigmoid,categorical_crossentropy,adam,1000
200,1.9620423316955566,0.3920400142669678,2.353334903717041,0.3050999939441681,120,relu,sigmoid,categorical_crossentropy,adam,2000
200,2.5764777660369873,0.19099999964237213,2.6033926010131836,0.18119999766349792,120,relu,sigmoid,categorical_crossentropy,adagrad,1000
200,2.5618762969970703,0.20076000690460205,2.6000075340270996,0.1867000013589859,120,relu,sigmoid,categorical_crossentropy,adagrad,2000
200,0.009266040287911892,0.11107999831438065,0.009274670854210854,0.10760000348091125,120,sigmoid,softmax,mse,adam,1000
200,0.009257144294679165,0.11683999747037888,0.009269467554986477,0.11029999703168869,120,sigmoid,softmax,mse,adam,2000
200,0.009921739809215069,0.0,0.009921734221279621,0.0,120,sigmoid,softmax,mse,adagrad,1000
